CTR_CD,CTR_TY,REGION,NAME_PART1,NAME_PART2,ENTIRE_NAME,PRIMARY_CITY,PRIMARY_STATE,PRIMARY_ZIP,PROVIDER_NUM,PRIMARY_PROVINCE,PRIMARY_CTRY,OPTN_MBR,ESRD_REGION,CTR_ID
ILPL,IT1: Hospital Based Lab,7,Histo Lab at Rush University Med Ctr,,Rush Medical Laboratories Histocompatibility Laboratory,Chicago,IL,60612-3833,140119,,USA,1,,184
ILPL,TX1: Transplant Hospital,7,Rush University Med Ctr,,Rush University Medical Center,Chicago,IL,60612,140119,,USA,1,10,185
ILRC,TT1: Independent Lab,7,American Red Cross Blood Svcs,Heart of Illinois Region,American Red Cross Blood Services Heart of Illinois Region,Peoria,IL,61604,14HL06,,USA,0,,186
ILRL,TT1: Independent Lab,7,Gift of Hope,Organ & Tissue Network Laboratory,Gift of Hope Organ & Tissue Donor Network Laboratory,Itasca,IL,60143,14HL07,,USA,1,,187
ILSF,TX1: Transplant Hospital,7,OSF St Francis Med Ctr,,OSF Saint Francis Medical Center,Peoria,IL,61637,140067,,USA,1,10,188
ILSJ,TX1: Transplant Hospital,7,St. Johns Hospital,,St. Johns Hospital,Springfield,IL,62769,140053,,USA,0,10,189
ILUC,TX1: Transplant Hospital,7,Univ of Chicago Med Ctr,,University of Chicago Medical Center,Chicago,IL,60637,140088,,USA,1,10,190
ILUI,IT1: Hospital Based Lab,7,Tissue Typing Lab at the Univ. of IL,"Dept of Pathology, MC 750",Tissue Typing Laboratory at University of Illinois,Chicago,IL,60612,140150,,USA,1,,191
ILUI,TX1: Transplant Hospital,7,University of Illinois Medical Center,,University of Illinois Medical Center,Chicago,IL,60612,140150,,USA,1,10,192
INCI,TT1: Independent Lab,10,Central Indiana Reg Blood Ctr,,Central Indiana Reg. Blood Center Transplant and Immunology Laboratory,Indianapolis,IN,46208-0206,158078,,USA,1,,193
INIM,IT1: Hospital Based Lab,10,Histo Lab at Methodist Hospital,,Histocompatibility Laboratory at Methodist Hospital of Indiana,Indianapolis,IN,46206-1367,150056,,USA,1,,194
INIM,TX1: Transplant Hospital,10,Indiana University Health,,Indiana University Health,Indianapolis,IN,46202,150056,,USA,1,9,195
INIU,IT1: Hospital Based Lab,10,Tx Immunology and Histo Lab,,Transplant Immunology and Histocompatibility Lab at Indiana University,Indianapolis,IN,46202,150032,,USA,0,,196
INIU,TX1: Transplant Hospital,10,Indiana University Med Ctr,,Indiana University Medical Center,Indianapolis,IN,46202,150032,,USA,0,9,197
INLH,IT1: Hospital Based Lab,10,American Red Cross At Ft Wayne,Lutheran Hospital of Indiana,American Red Cross At Fort Wayne,Ft Wayne,IN,46804-1167,150017,,USA,0,,198
INLH,TX1: Transplant Hospital,10,Lutheran Hosp of Ft Wayne,,Lutheran Hospital of Fort Wayne,Fort Wayne,IN,46804,150017,,USA,1,9,199
INOP,OP1: Independent OPO,10,Indiana Donor Network,,Indiana Donor Network,Indianapolis,IN,46222,15P001,,USA,1,,200
INSV,TX1: Transplant Hospital,10,Ascension St. Vincent Hospital,,Ascension St. Vincent Hospital,Indianapolis,IN,46260,150084,,USA,1,9,201
INTL,TT1: Independent Lab,10,HLA-Vascular Biology Lab,St. Francis Hospital,HLA-Vascular Biology Lab at St. Francis Hospital,Beech Grove,IN,46107,150033,,USA,0,,202
KSCL,TT1: Independent Lab,8,Cross Clinical Labs,,Cross Clinical Laboratories,Kansas City,MO,64111,178113,,USA,0,,203
KSFT,TX1: Transplant Hospital,8,St Francis Hosp and Med Ctr,,St Francis Hospital and Medical Center,Topeka,KS,66606,170016,,USA,0,12,204
KSFW,TX1: Transplant Hospital,8,"Via Christi Hospitals Wichita, Inc.",Transplant Institute,"Via Christi Hospitals Wichita, Inc.",Wichita,KS,67214-3882,170122,,USA,0,12,205
KSUK,TX1: Transplant Hospital,8,University of Kansas Hospital,,University of Kansas Hospital,Kansas City,KS,66103,170040,,USA,1,12,206
KYDA,OP1: Independent OPO,11,KY Organ Donor Affiliates,,Kentucky Organ Donor Affiliates,Louisville,KY,40223,18P001,,USA,1,,207
KYHH,TX1: Transplant Hospital,11,Columbia Audubon Hosp,Formerly Humana Hosp Audubon,Columbia Audubon Hospital,Louisville,KY,40217,180014,,USA,0,9,208
KYJH,IT1: Hospital Based Lab,11,Histo Lab at Jewish Hospital,,Histocompatibility Laboratory at Jewish Hospital,Louisville,KY,40202,180040,,USA,1,,209
KYJH,TX1: Transplant Hospital,11,Jewish Hospital,,Jewish Hospital,Louisville,KY,40202-1886,180040,,USA,1,9,210
KYKC,TX1: Transplant Hospital,11,Norton Children's Hospital,,Norton Children's Hospital,Louisville,KY,40202,180088,,USA,1,9,211
KYUK,IT1: Hospital Based Lab,11,Immuno Molecular Pathology Lab,,Immuno Molecular Pathology Laboratory at the University of Kentucky,Lexington,KY,40536-0293,180067,,USA,1,,212
KYUK,TX1: Transplant Hospital,11,Univ of Kentucky Med Ctr,AB Chandler Medical Center,University of Kentucky Medical Center,Lexington,KY,40536,180067,,USA,1,9,213
KYUL,TT1: Independent Lab,11,Renal Transplant Laboratory,"Univ of Louisville, MDR Bldg. Rm 212A",University of Louisville Renal Transplant Laboratory,Louisville,KY,40202,18HL01,,USA,0,,214
LACH,TX1: Transplant Hospital,3,Children's Hospital,,Children's Hospital,New Orleans,LA,70118,193300,,USA,1,13,215
LAIL,TT1: Independent Lab,3,LSU Immunocytogenetics Lab,LSU Medical Center,LSU Immunocytogenetics Laboratory / LSU School of Medicine,New Orleans,LA,70112-2127,19HL02,,USA,0,,216
LANO,OP1: Independent OPO,3,LSU New Orleans IOPA,,LSU New Orleans OPO,New Orleans,LA,70112-2822,,,USA,0,,217
LANO,TX1: Transplant Hospital,3,University Hospital,LSU School of Medicine,University Hospital /Louisiana State University School of Medicine,New Orleans,LA,70112,190035,,USA,0,13,218
LAOC,OP1: Independent OPO,3,Ochsner Organ Bank,,Ochsner Organ Bank,New Orleans,LA,99999,19OP03,,USA,0,,219
LAOF,IT1: Hospital Based Lab,3,Histo Lab at Ochsner,,Histocompatibility Laboratory at Ochsner Foundation Hosp,New Orleans,LA,70121,190036,,USA,0,,220
LAOF,TX1: Transplant Hospital,3,Ochsner Foundation Hospital,Ochsner Clinic,Ochsner Foundation Hospital,New Orleans,LA,70121,190036,,USA,1,13,221
LAOP,OP1: Independent OPO,3,Louisiana Organ Procurement Agency,,Louisiana Organ Procurement Agency,Covington,LA,70433,19P001,,USA,1,,222
LAOS,OP1: Independent OPO,3,Louisiana Organ Sharing Prog,,Louisiana Organ Sharing Program,Shreveport,LA,99999,19OP01,,USA,0,,223
LASB,IT1: Hospital Based Lab,3,HLA Lab,,HLA Laboratory at  Mem Med Ctr,New Orleans,LA,70115,190135,,USA,0,,224
LASB,TX1: Transplant Hospital,3,Lindy Boggs Medical Center,Mercy Campus,Lindy Boggs Medical Center,New Orleans,LA,70119,190135,,USA,0,13,225
LASM,IT1: Hospital Based Lab,3,Transplant Immunology Lab,,Transplant Immunology Laboratory at Schumpert Med Ctr,Shreveport,LA,71101,190041,,USA,0,,226
LASM,TX1: Transplant Hospital,3,Schumpert Health System,,Schumpert Health System,Shreveport,LA,71101,190041,,USA,0,13,227
LASU,IO1: Hospital Based OPO,3,LSU Organ Procurement Organization,,LSU Organ Procurement Organization,Shreveport,LA,71130-3932,190098,,USA,0,,228
LASU,IT1: Hospital Based Lab,3,HLA Lab at LSU,,HLA Laboratory at Louisiana State University,Shreveport,LA,71130-3932,19HL01,,USA,0,,229
LASU,TX1: Transplant Hospital,3,Louisiana State Univ Med Ctr,School of Med in Shreveport,Louisiana State University Medical Center Shreveport,Shreveport,LA,71130-3932,190098,,USA,0,13,230
LATL,TT1: Independent Lab,3,Ochsner HLA Laboratory,Ochsner Health System,Ochsner Histocompatibility and Immunogenetics Laboratory,New Orleans,LA,70121,190036,,USA,1,,231
LATM,TT1: Independent Lab,3,Histo and Immunogenetics Lab,Tulane Univ School of Medicine,Histocompatibility and Immunogenetics Lab / Tulane Univ School of Medicine,New Orleans,LA,70112,19HL05,,USA,1,,232
LATU,IT1: Hospital Based Lab,3,Histo and Immunogenetics Lab,,Histocompatibility and Immunogenetics Laboratory at Tulane,New Orleans,LA,70112,190176,,USA,0,,233
LATU,TX1: Transplant Hospital,3,Tulane Medical Center,,Tulane Medical Center,New Orleans,LA,70112,190176,,USA,1,13,234
LAWK,TX1: Transplant Hospital,3,Willis-Knighton Medical Center,,Willis-Knighton Medical Center,Shreveport,LA,71103,190111,,USA,1,13,235
MABI,IT1: Hospital Based Lab,1,Tissue Typing Lab at Beth Israel,Clinical Center 2,Tissue Typing Laboratory at Beth Israel Deaconess Medical Center,Boston,MA,2215,220086,,USA,1,,288
MABI,TX1: Transplant Hospital,1,Beth Israel Deaconess Med Ctr,,Beth Israel Deaconess Medical Center,Boston,MA,2215,220086,,USA,1,1,289
MABS,TX1: Transplant Hospital,1,Baystate Medical Center,,Baystate Medical Center,Springfield,MA,01199-0001,220077,,USA,1,1,290
MABU,TX1: Transplant Hospital,1,Boston Medical Center,,Boston Medical Center,Boston,MA,2118,220031,,USA,1,1,291
MABV,TX1: Transplant Hospital,1,Boston VA Med Ctr,,Boston Veterans Administration Medical Center,Boston,MA,2130,22010F,,USA,0,1,292
MACH,TX1: Transplant Hospital,1,Boston Children's Hospital,,Boston Children's Hospital,Boston,MA,2115,223302,,USA,1,1,293
MAHS,IT1: Hospital Based Lab,1,Tissue Typing Lab,,Tissue Typing Laboratory at Beth Israel Deaconess Med Ctr,Boston,MA,2215,220118,,USA,0,,294
MAHS,TX1: Transplant Hospital,1,Beth Israel Deaconess Med Ctr,,Beth Israel Deaconess Medical Center West Campus,Boston,MA,2215,220118,,USA,0,1,295
MALC,TX1: Transplant Hospital,1,Lahey Clinic Med Ctr,,Lahey Clinic Medical Center,Burlington,MA,1805,220171,,USA,1,1,296
MAMG,IT1: Hospital Based Lab,1,MGH Histocompatibility Laboratory,Massachusetts General Hospital,Histocompatibility Laboratory at Massachusetts General Hospital,Boston,MA,02114-2696,220071,,USA,1,,297
MAMG,TX1: Transplant Hospital,1,Massachusetts General Hospital,,Massachusetts General Hospital,Boston,MA,02114-2696,220071,,USA,1,1,298
MANM,IT1: Hospital Based Lab,1,Tufts Medical Center Lab,,Tufts Medical Center Laboratory,Boston,MA,2111,220116,,USA,1,,300
MANM,TX1: Transplant Hospital,1,Tufts Medical Center,,Tufts Medical Center,Boston,MA,2111,220116,,USA,1,1,301
MAOB,OP1: Independent OPO,1,New England Organ Bank,,New England Organ Bank,Waltham,MA,2451,22P001,,USA,1,,302
MAPB,TX1: Transplant Hospital,1,Brigham and Women's Hosp,,Brigham and Women's Hospital,Boston,MA,2115,220110,,USA,1,1,303
MARC,TT1: Independent Lab,1,American Red Cross HLA Lab,Northeast Region,American Red Cross HLA Laboratory,Dedham,MA,2026,22D830,,USA,0,,304
MAUM,TX1: Transplant Hospital,1,UMass Memorial Medical Center,,UMass Memorial Medical Center,Worcester,MA,1655,220163,,USA,1,1,305
MDBC,TX1: Transplant Hospital,2,Johns Hopkins Bayview Med Ctr,,Johns Hopkins Bayview Medical Center,Baltimore,MD,21224-2735,210029,,USA,0,5,306
MDJH,TX1: Transplant Hospital,2,Johns Hopkins Hospital,,Johns Hopkins Hospital,Baltimore,MD,21287,210009,,USA,1,5,307
MDNI,TX1: Transplant Hospital,2,Warren Grant Magnuson Clinical Ctr,National Insitutes of Health,Warren Grant Magnuson Clinical Center/National Institutes of Health,Bethesda,MD,20892-0001,219999,,USA,0,5,308
MDPC,OP1: Independent OPO,2,The Living Legacy Foundation of MD,,The Living Legacy Foundation of Maryland,Baltimore,MD,21227,21P001,,USA,1,,309
MDRC,TT1: Independent Lab,2,American Red Cross Natl Histo Lab,,American Red Cross National Histocompatibility Laboratory,Baltimore,MD,21201-1595,21HL03,,USA,0,,310
MDSG,TX1: Transplant Hospital,2,Shady Grove Adventist Hosp,,Shady Grove Adventist Hospital,Rockville,MD,20850-3395,210057,,USA,0,5,311
MDTL,TT1: Independent Lab,2,Immunogenetics Lab,Johns Hopkins University,Immunogenetics Laboratories at the Johns Hopkins University,Baltimore,MD,21205-2222,21HL01,,USA,1,,312
MDUM,TX1: Transplant Hospital,2,Univ of Maryland Med System,,University of Maryland Medical System,Baltimore,MD,21201,210002,,USA,1,5,313
MDWA,TX1: Transplant Hospital,2,Washington Adventist Hosp,,Washington Adventist Hospital,Takoma Park,MD,20912,,,USA,0,5,314
MEIL,TT1: Independent Lab,1,Immunogenetics Lab,Maine Med Ctr Research Institute,Immunogenetics Laboratory Maine Medical Center Research Institute,South Portland,ME,4106,20HL02,,USA,0,,315
MEMC,IT1: Hospital Based Lab,1,Immunogenetics Lab,,Immunogenetics Laboratory at ME Med Ctr,Portland,ME,4102,20HL02,,USA,0,,316
MEMC,TX1: Transplant Hospital,1,Maine Medical Center,,Maine Medical Center,Portland,ME,04102-3175,200009,,USA,1,1,317
MEOP,OP1: Independent OPO,1,Northern New England Transplant,Alliance,Northern New England Transplant Alliance,Portland,ME,4102,,,USA,0,,318
METL,TT1: Independent Lab,1,Nordx Immunogenetics Lab,,Nordx Immunogenetics Laboratory,Scarborough,ME,4074,201771,,USA,1,,319
MIBH,IT1: Hospital Based Lab,10,Histocompatibility Lab - Wm. Beaumont,William Beaumont Hospital,Histocompatibility Laboratory at William Beaumont Hospital,Royal Oak,MI,48073-6769,230130,,USA,1,,320
MIBH,TX1: Transplant Hospital,10,William Beaumont Hospital,,William Beaumont Hospital,Royal Oak,MI,48073,230130,,USA,1,11,321
MICH,TX1: Transplant Hospital,10,Children's Hosp of Michigan,,Children's Hospital of Michigan,Detroit,MI,48201-2119,233300,,USA,1,11,322
MIHF,IT1: Hospital Based Lab,10,Cellular Immunology & Histo Lab,,Cellular Immunology & Histocompatibility at Henry Ford Hospital,Detroit,MI,48202,230053,,USA,1,,323
MIHF,TX1: Transplant Hospital,10,Henry Ford Hospital,,Henry Ford Hospital,Detroit,MI,48202,230053,,USA,1,11,324
MIHH,IT1: Hospital Based Lab,10,DMC Univ Labs Histo/Immununogenetics,,DMC University Laboratories - Histo & Immunogenetics Laboratory,Detroit,MI,48201,23HL07,,USA,1,,325
MIHH,TX1: Transplant Hospital,10,Harper Univ Hospital Detroit Med Ctr,Wayne State University,Harper University Hospital Detroit Medical Center,Detroit,MI,48201,230104,,USA,1,11,326
MIHM,TX1: Transplant Hospital,10,Hurley Medical Center,,Hurley Medical Center,Flint,MI,48503-5993,230132,,USA,0,11,327
MIKZ,TX1: Transplant Hospital,10,Borgess Med Ctr,,Borgess Medical Center,Kalamazoo,MI,49048,230117,,USA,0,11,328
MIMC,TX1: Transplant Hospital,10,Grace Hosp,,Grace Hospital,Detroit,MI,48235,230039,,USA,0,11,329
MIOP,OP1: Independent OPO,10,Gift of Life Michigan,,Gift of Life Michigan,Ann Arbor,MI,48108,23P001,,USA,1,,330
MIRI,TT1: Independent Lab,10,Immunohematology and Serology Lab,Michigan State University,Immunohematology and Serology Laboratory at Michigan State University,East Lansing,MI,48824,23HL02,,USA,1,,331
MISJ,TX1: Transplant Hospital,10,St John Hosp and Med Ctr,,Ascension St. John Hospital,Detroit,MI,48236-2172,230165,,USA,1,11,332
MISM,TX1: Transplant Hospital,10,Mercy Health Saint Mary’s,,Mercy Health Saint Mary’s,Grand Rapids,MI,49503,230059,,USA,1,11,333
MITL,TT1: Independent Lab,10,DMC Univ Labs,Immunogenetics Lab,DMC University Laboratories Immunogenetics Laboratory at Harper Hosp,Detroit,MI,48201,23HL07,,USA,0,,334
MITS,TT1: Independent Lab,10,Gift of Life Michigan Histo Lab,,Gift of Life Michigan - Histocompatibility Laboratory,Ann Arbor,MI,48108,23HL03,,USA,1,,335
MIUM,IT1: Hospital Based Lab,10,HLA Lab at Univ. of MI,Traver Wood 2,HLA Laboratory at the University of Michigan,Ann Arbor,MI,48105,230046,,USA,1,,336
MIUM,TX1: Transplant Hospital,10,Univ of Michigan Med Ctr,,University of Michigan Medical Center,Ann Arbor,MI,48109,230046,,USA,1,11,337
MNAN,TX1: Transplant Hospital,7,Abbott Northwestern Hospital,,Abbott Northwestern Hospital,Minneapolis,MN,55407,240906,,USA,1,11,338
MNCM,TX1: Transplant Hospital,7,Children's Minnesota,,Children's Minnesota,Minneapolis,MN,55404,243302,,USA,1,11,339
MNHC,TX1: Transplant Hospital,7,Hennepin County Med Ctr,,Hennepin County Medical Center,Minneapolis,MN,55415,240004,,USA,1,11,340
MNMC,IT1: Hospital Based Lab,7,Tissue Typing Lab at Mayo Clinic,,Tissue Typing Laboratory at Mayo Clinic,Rochester,MN,55902,240061,,USA,1,,341
MNMC,TX1: Transplant Hospital,7,Mayo Clinic Hospital Minnesota,,Mayo Clinic Hospital Minnesota,Rochester,MN,55902,240061,,USA,1,11,342
MNMM,TX1: Transplant Hospital,7,Metropolitan Mt Sinai Med Ctr,,Metropolitan Mount Sinai Medical Center,Minneapolis,MN,55404,240196,,USA,0,11,343
MNMV,TX1: Transplant Hospital,7,Veterans Admin Med Ctr,,Veterans Administration Medical Center Minneapolis,Minneapolis,MN,55417,24001F,,USA,0,11,344
MNNN,TT1: Independent Lab,7,Memorial Blood Ctrs of MN,,Memorial Blood Centers of Minnesota,Minneapolis,MN,55404,248045,,USA,0,,345
MNOP,OP1: Independent OPO,7,LifeSource Upper Midwest OPO,,LifeSource Upper Midwest Organ Procurement Organization,Minneapolis,MN,55411,24P001,,USA,1,,346
MNRC,OP1: Independent OPO,7,American Red Cross TX Donor Serv,,American Red Cross Transplant Donor Serv,St Paul,MN,99999,24OP02,,USA,0,,347
MNSM,TX1: Transplant Hospital,7,St Marys Hospital (Mayo Clinic),,Saint Marys Hospital (Mayo Clinic),Rochester,MN,55902,240010,,USA,0,11,348
MNUM,IT1: Hospital Based Lab,7,Clinical Histo Lab/Univ of MN Med Ctr,,Clinical Histocompatibility Laboratory at University of Minnesota Med Ctr,Minneapolis,MN,55455,240049,,USA,1,,349
MNUM,TX1: Transplant Hospital,7,Univ. of Minnesota Medical Center,Fairview,"University of Minnesota Medical Center, Fairview",Minneapolis,MN,55454,240049,,USA,1,11,350
MOBH,TX1: Transplant Hospital,8,Barnes-Jewish Hospital,,Barnes-Jewish Hospital,St. Louis,MO,63110,260032,,USA,1,12,351
MOCG,TX1: Transplant Hospital,8,Cardinal Glennon Childrens Hosp,,Cardinal Glennon Children's Hospital,St. Louis,MO,63104,263300,,USA,1,12,352
MOCH,TX1: Transplant Hospital,8,St. Louis Children's Hospital,Washington University Medical Center,St. Louis Children's Hospital at Washington University Medical Center,St. Louis,MO,63110,263301,,USA,1,12,353
MOCM,TX1: Transplant Hospital,8,Children's Mercy Hospital,,Children's Mercy Hospital,Kansas City,MO,64108-4619,263302,,USA,1,12,354
MOCV,TX1: Transplant Hospital,8,John Cochran VA Hosp,,John Cochran Veterans Administration Hospital,St Louis,MO,63106,26009F,,USA,0,12,355
MODU,TX1: Transplant Hospital,8,DePaul Health Ctr,,DePaul Health Center,Bridgeton,MO,63044,260104,,USA,0,12,356
MOHL,TT1: Independent Lab,8,HLA Lab Barnes Jewish Hosp,MS 90.23.335,HLA Laboratory at Barnes Jewish Hospital,St Louis,MO,63110,260014,,USA,1,,357
MOJM,TX1: Transplant Hospital,8,St Johns Mercy Med Ctr,,St Johns Mercy Medical Center,St Louis,MO,63141-8277,260020,,USA,0,12,358
MOLH,TX1: Transplant Hospital,8,Saint Luke's Hospital of Kansas City,,St Luke's Hospital of Kansas City,Kansas City,MO,64111-8277,260138,,USA,1,12,359
MOMA,OP1: Independent OPO,8,Mid-America Transplant Svcs,,Mid-America Transplant Services,St Louis,MO,63110,26P002,,USA,1,,360
MOMM,TX1: Transplant Hospital,8,Menorah Med Ctr,,Menorah Medical Center,Kansas City,MO,64110,260112,,USA,0,12,361
MORH,TX1: Transplant Hospital,8,Research Medical Center,,Research Medical Center,Kansas City,MO,64132,260027,,USA,1,12,362
MOSJ,TX1: Transplant Hospital,8,St Johns Reg Med Ctr,,St Johns Regional Medical Center,Joplin,MO,64804-1695,260001,,USA,0,12,363
MOSL,IT1: Hospital Based Lab,8,St. Louis University HLA Laboratory,,St. Louis University HLA Laboratory,St. Louis,MO,63110-0250,260105,,USA,1,,364
MOSL,TX1: Transplant Hospital,8,SSM Health Saint Louis University Hos,,SSM Health Saint Louis University Hospital,St. Louis,MO,63104,260105,,USA,1,12,365
MOTL,TT1: Independent Lab,8,MO IL Reg Blood Svc,American Red Cross,Missouri Illinois Regional Blood Service,St Louis,MO,63108,26HL02,,USA,0,,366
MOUM,IT1: Hospital Based Lab,8,University of Missouri Histo Lab,,University of Missouri Histocompatibility Laboratory,Columbia,MO,65212,260141,,USA,0,,367
MOUM,TX1: Transplant Hospital,8,Univ of Missouri Hosp and Clinic,,University of Missouri Hospital and Clinics,Columbia,MO,65201,260141,,USA,1,12,368
MSOP,OP1: Independent OPO,3,Mississippi Organ Recovery Agency,,Mississippi Organ Recovery Agency,Flowood,MS,39232,25P001,,USA,1,,369
MSUM,IO1: Hospital Based OPO,3,Mississippi OPA,,Mississippi Organ Procurement Agency,Jackson,MS,39216-4505,,,USA,0,,370
MSUM,IT1: Hospital Based Lab,3,Univ of MS Tissue Typing Laboratory,,Tissue Typing Laboratory of the University of Mississippi,Jackson,MS,39216-4505,250001,,USA,1,,371
MSUM,TX1: Transplant Hospital,3,Univ of MS Med Ctr,,University of Mississippi Medical Center,Jackson,MS,39216-4505,250001,,USA,1,8,372
MWKC,TT1: Independent Lab,8,Midwest Transplant Network Histo Lab,,Midwest Transplant Network Histocompatibility Laboratory Westwood,Westwood,KS,66205-1867,26HL01,,USA,1,,373
MWOB,OP1: Independent OPO,8,Midwest Transplant Network,,Midwest Transplant Network,Westwood,KS,66205,17P001,,USA,1,,374
MWTL,TT1: Independent Lab,8,Midwest Transplant Network Lab,,Midwest Transplant Network Histocompatibility and Immunogenetics Laboratory,Wichita,KS,67214,26HL01,,USA,0,,375
NCBG,IO1: Hospital Based OPO,11,Carolina LifeCare,,Carolina LifeCare,Winston Salem,NC,27103,34P002,,USA,0,,376
NCBG,TX1: Transplant Hospital,11,Wake Forest Baptist Medical Center,,Wake Forest Baptist Medical Center,Winston-Salem,NC,27157,340047,,USA,1,6,377
NCCM,IO1: Hospital Based OPO,11,LifeShare Carolinas,,LifeShare Carolinas,Charlotte,NC,28208,34P003,,USA,1,,378
NCCM,IT1: Hospital Based Lab,11,Immunology Lab,Carolinas Medical Center/CHS Core Lab,Immunology Laboratory at Carolinas Medical Center,Charlotte,NC,28208,340113,,USA,1,,379
NCCM,TX1: Transplant Hospital,11,Carolinas Medical Center,,Carolinas Medical Center,Charlotte,NC,28203,340113,,USA,1,6,380
NCDU,IT1: Hospital Based Lab,11,Clinical Transplantation Immunology,Laboratory,Clinical Transplantation Immunology Laboratory at Duke University Med. Ctr.,Durham,NC,27710,340721,,USA,1,,381
NCDU,TX1: Transplant Hospital,11,Duke University Hospital,,Duke University Hospital,Durham,NC,27710,340030,,USA,1,6,382
NCDU,VA1: Veteran's Hospital,11,Durham VA Medical Center,,Durham VA Medical Center,Durham,NC,99999,34012F,,USA,0,,383
NCDV,TT1: Independent Lab,11,Durham VA Med Ctr Tx Lab,,Durham Veterans Administration Medical Center Transplantation Laboratory,Durham,NC,27705,34012F,,USA,0,,384
NCEC,IT1: Hospital Based Lab,11,Histo Lab at Pitt Co. Memorial Hosp.,,Histocompatibility Laboratory at Vidant Medical Center,Greenville,NC,27834,340040,,USA,1,,385
NCEC,TX1: Transplant Hospital,11,Vidant Medical Center,,Vidant Medical Center,Greenville,NC,27834,340040,,USA,1,6,386
NCMH,IT1: Hospital Based Lab,11,Histo Lab at UNC Hospitals,McLendon Clinical Laboratories,Histocompatibility Laboratory at UNC Hospitals,Chapel Hill,NC,27514,340061,,USA,1,,387
NCMH,TX1: Transplant Hospital,11,UNC Hospitals,UNC Comprehensive Transplant Ctr.,University of North Carolina Hospitals,Chapel Hill,NC,27514-4220,340061,,USA,1,6,388
NCMI,TT1: Independent Lab,11,HLA/Immun. Lab at Wake Forest Univ.,Health Sciences,HLA/ Immunogenetics Laboratory Wake Forest University Health Sciences,Winston-Salem,NC,27103,34HL01,,USA,0,,389
NCNC,OP1: Independent OPO,11,HonorBridge,,HonorBridge,Greenville,NC,27858,34P001,,USA,1,,390
NDDH,TX1: Transplant Hospital,7,Dakota Heartland Health System,,Dakota Heartland Health System,Fargo,ND,58103,350004,,USA,0,11,391
NDMC,TX1: Transplant Hospital,7,Sanford Bismarck Medical Center,,Sanford Bismarck Medical Center,Bismarck,ND,58501-5525,350015,,USA,1,11,392
NDSL,TX1: Transplant Hospital,7,Sanford Medical Center Fargo,,Sanford Medical Center Fargo,Fargo,ND,58122,350011,,USA,1,11,393
NDTL,TT1: Independent Lab,7,Sanford Histocompatibility Laboratory,,Sanford Histocompatibility Laboratory,Bismarck,ND,58506-5505,35HL01,,USA,1,5,394
NDTS,TT1: Independent Lab,7,Sanford Medical Ctr Fargo - Histo Lab,,Sanford Clinic - Fargo Histocompatibility Laboratory,Fargo,ND,58122,358029,,USA,1,,395
NEBM,TX1: Transplant Hospital,8,BryanLGH Medical Center East,,BryanLGH Medical Center East,Lincoln,NE,68506-1299,280003,,USA,0,12,396
NECM,TX1: Transplant Hospital,8,Nebraska Health System,Clarkson Hospital,Nebraska Health System Clarkson Hospital,Omaha,NE,68198-7400,280088,,USA,0,12,397
NEOB,TT1: Independent Lab,1,New England Organ Bank Tissue Lab,,New England Organ Bank Tissue Typing Laboratory,Boston,MA,02115-6195,22HL01,,USA,0,,398
NEOR,OP1: Independent OPO,8,Nebraska Organ Recovery System,,Live On Nebraska,Omaha,NE,68105,28P001,,USA,1,,399
NESJ,TX1: Transplant Hospital,8,St Joseph Hosp,At Creighton Univ Med Ctr,Saint Joseph Hospital at Creighton University Medical Center,Omaha,NE,68131,280030,,USA,0,12,400
NEUN,IT1: Hospital Based Lab,8,Molecular Diagnostics Lab at NHS,,Molecular Diagnostics Laboratory at The Nebraska Medical Center,Omaha,NE,68198-5454,280013,,USA,1,,401
NEUN,TX1: Transplant Hospital,8,The Nebraska Medical Center,University Hospital,The Nebraska Medical Center,Omaha,NE,68105,280013,,USA,1,12,402
NHDH,TX1: Transplant Hospital,1,Mary Hitchcock Memorial Hosp,,Mary Hitchcock Memorial Hospital,Lebanon,NH,03756-0001,300003,,USA,1,1,403
NJBI,TX1: Transplant Hospital,2,Newark Beth Israel Med Ctr,,Newark Beth Israel Medical Center,Newark,NJ,7112,310002,,USA,1,3,404
NJHK,TX1: Transplant Hospital,2,Hackensack University Medical Center,,Hackensack University Medical Center,Hackensack,NJ,07601-1991,310001,,USA,1,3,405
NJLL,IT1: Hospital Based Lab,2,Tissue Typing Lab,,Tissue Typing Laboratory at Our Lady of Lourdes Medical Center,Camden,NJ,8103,310029,,USA,0,,406
NJLL,TX1: Transplant Hospital,2,Virtua Our Lady of Lourdes Hospital,,Virtua Our Lady of Lourdes Hospital,Camden,NJ,08103-3117,310029,,USA,1,3,407
NJRW,TX1: Transplant Hospital,2,Robert Wood Johnson University Hosp,,Robert Wood Johnson University Hospital,New Brunswick,NJ,8901,310038,,USA,1,3,408
NJSB,TX1: Transplant Hospital,2,St Barnabas Medical Center,,Saint Barnabas Medical Center,Livingston,NJ,7039,310076,,USA,1,3,409
NJTL,TT1: Independent Lab,2,NJ Organ and Tissue Sharing Network,Transplant Laboratory,New Jersey Organ and Tissue Sharing Network Transplant Laboratory,New Providence,NJ,7974,31HL01,,USA,1,,410
