,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
"Portland Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,(b) (6) , 4 , 45 , 32 , 185 , -   , -   , -   , -   , 266 ,,
2,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,(b) (6) , -   , -   , 5 , -   , -   , -   , -   , -   , 5 ,,
  Federal Sub Total ,, 4 , 45 , 37 , 185 , -   , -   , -   , -   , 271 ,,
1,(b) (6) , 15 , 64 , 633 , 52 , 193 , -   , 12 , 15 , 984 ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, 15 , 64 , 633 , 52 , 193 , -   , 12 , 15 , 984 ,,
Portland TOTAL,, 19 , 109 , 670 , 237 , 193 , -   , 12 , 15 ," 1,255 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Tucson Area Federal,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Tucson Federal and Tribal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Federal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1,(b) (6) , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
4,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
  Tribal Sub Total ,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Tucson TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
,*UNABLE TO REPORT STATISTICS DUE TO CHSMS SYSTEM BEING DOWN. ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FORMS,,,,,,,,,,,,
TABLE 2,,Purchased / Referred Care Denials                                         ,,,,,,,,,,
,,FY 2019,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,(A),(B),(C),(D),(E),(F),(G),(H),(I),,
,,"Eligible But 
Care was not Within Medical Priority",,,,,,,,,,
"Federal PRC 
Programs",,,Eligible But Alternate Resource was Available,"Patient 
Not Eligible 
For PRC",Emergency Notification was not Provided Within 72 Hours,"Non-Emergency Care with 
No Prior Authorized","Patient Resides Outside 
PRC Service Delivery Area","IHS Facility 
was Accessible and Available","All Other 
Denials",TOTAL                     (A-H),,
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,,
1,,,,,,,,,,0,,
2,,,,,,,,,,0,,
3,,,,,,,,,,0,,
4,,,,,,,,,,0,,
5,,,,,,,,,,0,,
6,,,,,,,,,,0,,
7,,,,,,,,,,0,,
8,,,,,,,,,,0,,
9,,,,,,,,,,0,,
10,,,,,,,,,,0,,
11,,,,,,,,,,0,,
12,,,,,,,,,,0,,
TOTAL,,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,
